is_client_new;is_clientfinalta_active;y;type;region;source;was_closed_at_contact;tenure_days;day;month;campaign;age;credit_amount;credite_active;deposit_active;deposit_amount
0;1;1;ММБ; Новосибирск;Онлайн;0;748.0;3;3;154;27;0;N;Y;0
0;1;0;ММБ; Уфа;Онлайн;0;880.0;13;7;12;31;430555.55;Y;Y;0
0;0;0;ММБ; Екатеринбург;Онлайн;0;741.0;15;3;5;46;0;N;Y;0
0;1;0;ММБ; Краснодар;unknown;0;813.0;22;5;11;37;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Восток""";Онлайн;0;969.0;11;10;13;30;0;N;Y;0
0;1;0;ММБ; Ростов-на-Дону;Онлайн;0;908.0;14;8;7;30;0;N;Y;0
1;1;0;ММБ; Санкт-Петербург;Онлайн;0;915.0;11;9;12;43;0;N;Y;0
0;1;0;ММБ; Воронеж;Партнер;0;971.0;18;10;7;36;0;N;Y;0
0;1;0;ММБ; Омск;unknown;0;733.0;27;2;13;52;0;N;Y;0
0;1;0;ММБ; Иркутск;Онлайн;0;894.0;14;8;21;47;0;N;Y;0
1;0;0;ММБ; Самара;Онлайн;0;849.0;26;6;3;31;0;N;Y;0
0;1;0;ММБ; Ставрополь;unknown;0;742.0;15;3;12;43;0;N;Y;0
0;1;0;ММБ; Екатеринбург;Онлайн;0;747.0;11;4;14;40;0;N;N;0
0;1;0;ММБ;" Москва Тер-рия ""Восток""";Партнер;0;861.0;12;7;17;36;0;N;Y;0
0;1;0;ММБ; Краснодар;unknown;0;845.0;23;6;8;52;0;N;Y;0
0;1;0;ММБ; Самара;Онлайн;0;751.0;31;3;4;58;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Юг""";Онлайн;0;704.0;21;2;9;38;0;N;Y;0
0;1;0;ММБ; Екатеринбург;Отделение;0;870.0;18;7;13;40;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Восток""";Отделение;0;678.0;3;3;8;58;0;N;Y;0
0;1;0;ММБ; Тольятти;Онлайн;0;786.0;25;4;1;60;0;N;Y;150000
0;0;0;ММБ; Набережные Челны;Онлайн;0;870.0;18;7;7;35;0;N;Y;0
0;1;0;ММБ; Набережные Челны;Онлайн;0;694.0;23;1;5;32;0;N;Y;0
0;1;0;ММБ; Краснодар;unknown;0;786.0;6;5;4;46;390926.4;Y;N;0
0;1;0;ММБ; Новосибирск;Онлайн;0;734.0;15;3;23;36;0;N;Y;0
